CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
8991264,05/11/2018 10:43:50 PM,05/12/2018 12:30:00 AM,05/12/2018 12:30:00 AM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"2254 47TH AVE, SAN FRANCISCO, CA, 94116",47TH AVE,4,Outer Sunset,TARAVAL,37.744463011658,-122.505830945561,"(37.74446301, -122.50583095)",Mobile/Open311,
8991258,05/11/2018 10:37:00 PM,05/12/2018 06:00:12 AM,05/12/2018 06:00:12 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"489 HAYES ST, SAN FRANCISCO, CA, 94102",HAYES ST,5,Hayes Valley,NORTHERN,37.776685584006,-122.424291644618,"(37.77668558, -122.42429164)",Mobile/Open311,
8991209,05/11/2018 10:11:03 PM,05/12/2018 12:33:00 AM,05/12/2018 12:33:00 AM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1167 PINE ST, SAN FRANCISCO, CA, 94109",PINE ST,3,Lower Nob Hill,CENTRAL,37.790085,-122.415053,"(37.790085, -122.415053)",Mobile/Open311,
8991175,05/11/2018 09:52:00 PM,05/12/2018 06:00:12 AM,05/12/2018 06:00:12 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"2247 47TH AVE, SAN FRANCISCO, CA, 94116",47TH AVE,4,Outer Sunset,TARAVAL,37.744549806265,-122.506010402108,"(37.74454981, -122.5060104)",Mobile/Open311,
8991113,05/11/2018 09:15:40 PM,05/11/2018 10:09:00 PM,05/11/2018 10:09:00 PM,Closed,Case Transferred - Reported issue to SFPD. CAD #181314120.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of LAGUNA ST and LINDEN ST,LAGUNA ST,5,Hayes Valley,NORTHERN,37.775912240918,-122.426066368506,"(37.77591224, -122.42606637)",Mobile/Open311,
8990981,05/11/2018 08:08:00 PM,05/12/2018 06:00:12 AM,05/12/2018 06:00:12 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"675 39TH AVE, SAN FRANCISCO, CA, 94121",39TH AVE,1,Outer Richmond,RICHMOND,37.776079,-122.499656,"(37.776079, -122.499656)",Mobile/Open311,
8990926,05/11/2018 07:34:28 PM,05/11/2018 11:39:00 PM,05/11/2018 11:39:00 PM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"2251 47TH AVE, SAN FRANCISCO, CA, 94116",47TH AVE,4,Outer Sunset,TARAVAL,37.744513722172,-122.50610721309,"(37.74451372, -122.50610721)",Mobile/Open311,
8990764,05/11/2018 06:18:00 PM,05/12/2018 06:00:12 AM,05/12/2018 06:00:12 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"399 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,6,South of Market,SOUTHERN,37.777514601898,-122.404390086903,"(37.7775146, -122.40439009)",Mobile/Open311,
8989314,05/11/2018 01:17:41 PM,05/12/2018 06:00:12 AM,05/12/2018 06:00:12 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"799 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,TENDERLOIN,37.785800933838,-122.405433654785,"(37.78580093, -122.40543365)",Web,
8989186,05/11/2018 12:55:12 PM,05/12/2018 06:00:11 AM,05/12/2018 06:00:11 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
8988749,05/11/2018 11:26:58 AM,05/12/2018 06:00:11 AM,05/12/2018 06:00:11 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"799 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,TENDERLOIN,37.785800933838,-122.405433654785,"(37.78580093, -122.40543365)",Web,
8987751,05/11/2018 09:01:40 AM,05/11/2018 09:06:00 AM,05/11/2018 09:06:00 AM,Closed,"Case Transferred - Emailed customer: If she is still screaming, please contact non- emergency police as they are the ones to respond to this. 
415-553-0123.",311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of JACK LONDON ALY and TABER PL,JACK LONDON ALY,6,South Beach,SOUTHERN,37.781937463275,-122.394421453692,"(37.78193746, -122.39442145)",Mobile/Open311,
8986909,05/11/2018 01:10:00 AM,05/12/2018 06:00:11 AM,05/12/2018 06:00:11 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"480 14TH ST, SAN FRANCISCO, CA, 94103",14TH ST,8,Mission Dolores,MISSION,37.7682248,-122.4240093,"(37.7682248, -122.4240093)",Web,
8986371,05/10/2018 07:17:46 PM,05/10/2018 09:00:00 PM,05/10/2018 09:00:00 PM,Closed,"Comment Noted -  Noise complaint has been classified. General unregulated. If the noise is ongoing, please contact Police Non-Emergency at 415-553-0123",311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of ESMERALDA AVE and WINFIELD ST,ESMERALDA AVE,9,Bernal Heights,INGLESIDE,37.7434456,-122.4180013,"(37.7434456, -122.4180013)",Web,
8985808,05/10/2018 04:41:33 PM,05/11/2018 06:00:09 AM,05/11/2018 06:00:09 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3250 WEBSTER ST, SAN FRANCISCO, CA, 94123",WEBSTER ST,2,Marina,NORTHERN,37.800708770752,-122.434379577637,"(37.80070877, -122.43437958)",Web,
8983899,05/10/2018 11:18:50 AM,05/10/2018 11:52:00 AM,05/10/2018 11:52:00 AM,Closed,Case Transferred - This is about a encampment ... already reported 8971053. notes have been added to that,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1695 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,6,South of Market,SOUTHERN,37.770604742726,-122.419647295142,"(37.77060474, -122.4196473)",Mobile/Open311,
8982021,05/10/2018 01:05:45 AM,05/10/2018 01:20:00 AM,05/10/2018 01:20:00 AM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1723 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,3,Polk Gulch,NORTHERN,37.792734,-122.42146,"(37.792734, -122.42146)",Web,
8981986,05/10/2018 12:07:00 AM,,05/10/2018 12:11:41 AM,Open,open,MUNI Work Queue,Noise Report,Noise Issue,Other,Intersection of AUBURN ST and JACKSON ST,AUBURN ST,3,Nob Hill,CENTRAL,37.795300685538,-122.412360324611,"(37.79530069, -122.41236032)",Mobile/Open311,
8981954,05/09/2018 11:22:04 PM,05/09/2018 11:58:00 PM,05/09/2018 11:58:00 PM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"531 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,6,South of Market,TENDERLOIN,37.781199,-122.410404,"(37.781199, -122.410404)",Mobile/Open311,
8980469,05/09/2018 03:42:53 PM,05/09/2018 05:44:00 PM,05/09/2018 05:44:00 PM,Closed,Comment Noted - Please contact SFPD @ 415-553-0123 while incident is occurring.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"353 ARLINGTON ST, SAN FRANCISCO, CA, 94131",ARLINGTON ST,8,Fairmount,INGLESIDE,37.73612,-122.4277013,"(37.73612, -122.4277013)",Web,
8979213,05/09/2018 12:28:51 PM,05/10/2018 06:00:05 AM,05/10/2018 06:00:05 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"200 MCALLISTER ST, SAN FRANCISCO, CA, 94102",MCALLISTER ST,6,Civic Center,TENDERLOIN,37.780822753906,-122.415573120117,"(37.78082275, -122.41557312)",Web,
8977386,05/09/2018 07:41:00 AM,05/09/2018 08:55:00 AM,05/09/2018 08:55:00 AM,Closed,Case Resolved - Need to report to SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"171 BEAVER ST, SAN FRANCISCO, CA, 94114",BEAVER ST,8,Corona Heights,PARK,37.765253735741,-122.436987357328,"(37.76525374, -122.43698736)",Mobile/Open311,
8976976,05/08/2018 11:38:00 PM,05/09/2018 06:00:04 AM,05/09/2018 06:00:04 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"2889 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Mission,MISSION,37.750884,-122.418055,"(37.750884, -122.418055)",Mobile/Open311,
8976881,05/08/2018 10:13:00 PM,05/09/2018 06:00:04 AM,05/09/2018 06:00:04 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"70 PAGE ST, SAN FRANCISCO, CA, 94102",PAGE ST,5,Civic Center,NORTHERN,37.774137983715,-122.42161593411,"(37.77413798, -122.42161593)",Mobile/Open311,
8976863,05/08/2018 10:05:00 PM,05/09/2018 06:00:04 AM,05/09/2018 06:00:04 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"353 ARLINGTON ST, SAN FRANCISCO, CA, 94131",ARLINGTON ST,8,Fairmount,INGLESIDE,37.73612,-122.4277013,"(37.73612, -122.4277013)",Web,
8976587,05/08/2018 07:48:32 PM,05/09/2018 06:00:04 AM,05/09/2018 06:00:04 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"112 CONGDON ST, SAN FRANCISCO, CA, 94112",CONGDON ST,11,Mission Terrace,INGLESIDE,37.730472564697,-122.426216125488,"(37.73047256, -122.42621613)",Web,
8975727,05/08/2018 04:19:47 PM,05/09/2018 06:00:03 AM,05/09/2018 06:00:03 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"270 VALENCIA ST, SAN FRANCISCO, CA, 94103",VALENCIA ST,8,Mission Dolores,MISSION,37.768505096436,-122.422431945801,"(37.7685051, -122.42243195)",Web,
8975715,05/08/2018 04:18:00 PM,05/17/2018 02:17:00 PM,05/17/2018 02:17:00 PM,Closed,"Case Transferred - To view the status, see http://dbiweb.sfgov.org/dbipts/default.aspx?page=AddressComplaint&ComplaintNo=201865341 or call (415) 558-6570.",DBI Building Inspection Queue,Residential Building Request,Building - Noise_Caused_by_Building_Systems,Noise_Caused_by_Building_Systems,"479 OAK ST, SAN FRANCISCO, CA, 94102",OAK ST,5,Lower Haight,NORTHERN,37.774314880371,-122.427139282227,"(37.77431488, -122.42713928)",Web,
8973477,05/08/2018 10:12:00 AM,05/09/2018 06:00:03 AM,05/09/2018 06:00:03 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"71 JORDAN AVE, SAN FRANCISCO, CA, 94118",JORDAN AVE,2,Laurel Heights / Jordan Park,RICHMOND,37.7845403,-122.4571844,"(37.7845403, -122.4571844)",Web,
8972130,05/08/2018 03:05:00 AM,05/09/2018 06:00:03 AM,05/09/2018 06:00:03 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"2080 SILVER AVE, SAN FRANCISCO, CA, 94124",SILVER AVE,10,Silver Terrace,BAYVIEW,37.736064534759,-122.399150132921,"(37.73606453, -122.39915013)",Mobile/Open311,
8972046,05/07/2018 11:45:31 PM,05/08/2018 01:11:00 AM,05/08/2018 01:11:00 AM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"931 BUSH ST, SAN FRANCISCO, CA, 94102",BUSH ST,3,Lower Nob Hill,CENTRAL,37.7895879513,-122.412631055454,"(37.78958795, -122.41263106)",Mobile/Open311,
8971974,05/07/2018 10:44:50 PM,05/08/2018 12:43:00 AM,05/08/2018 12:43:00 AM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"820 IRVING ST, SAN FRANCISCO, CA, 94122",IRVING ST,5,Inner Sunset,TARAVAL,37.764184,-122.466767,"(37.764184, -122.466767)",Mobile/Open311,
8971938,05/07/2018 10:25:07 PM,05/07/2018 11:27:00 PM,05/07/2018 11:27:00 PM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"38 GOUGH ST, SAN FRANCISCO, CA, 94103",GOUGH ST,6,South of Market,SOUTHERN,37.772447968505,-122.42094437597,"(37.77244797, -122.42094438)",Mobile/Open311,
8971898,05/07/2018 10:06:02 PM,05/07/2018 11:26:00 PM,05/07/2018 11:26:00 PM,Closed,Comment Noted - Please contact police non-emergency at 415-553-0123 to report concern of individual(s) or illegal activity or call 3-1-1 for assistance.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"38 GOUGH ST, SAN FRANCISCO, CA, 94103",GOUGH ST,6,South of Market,SOUTHERN,37.77241215646,-122.420974069367,"(37.77241216, -122.42097407)",Mobile/Open311,
8968118,05/07/2018 09:41:37 AM,05/08/2018 06:01:00 AM,05/08/2018 06:01:00 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3448 16TH ST, SAN FRANCISCO, CA, 94114",16TH ST,8,Mission Dolores,MISSION,37.764575958252,-122.429641723633,"(37.76457596, -122.42964172)",Web,
8967050,05/07/2018 05:38:00 AM,05/08/2018 06:01:00 AM,05/08/2018 06:01:00 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1080 POST ST, SAN FRANCISCO, CA, 94109",POST ST,3,Lower Nob Hill,NORTHERN,37.786891510471,-122.419354789503,"(37.78689151, -122.41935479)",Mobile/Open311,
8965209,05/06/2018 01:00:09 PM,05/06/2018 01:16:00 PM,05/06/2018 01:16:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"162 CASELLI AVE, SAN FRANCISCO, CA, 94114",CASELLI AVE,8,Eureka Valley,MISSION,37.759856,-122.442302,"(37.759856, -122.442302)",Web,
8964058,05/06/2018 03:25:21 AM,05/06/2018 03:59:00 AM,05/06/2018 03:59:00 AM,Closed,Comment Noted - Please contact SFPD Non Emergency at 415-553-0123.  Thank you.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"130 LANGTON ST, SAN FRANCISCO, CA, 94103",LANGTON ST,6,South of Market,SOUTHERN,37.775756,-122.40797,"(37.775756, -122.40797)",Mobile/Open311,
8963970,05/06/2018 12:17:45 AM,05/06/2018 12:28:00 AM,05/06/2018 12:28:00 AM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"2201 CALIFORNIA ST, SAN FRANCISCO, CA, 94115",CALIFORNIA ST,2,Pacific Heights,NORTHERN,37.7891224,-122.4307544,"(37.7891224, -122.4307544)",Web,
8963962,05/06/2018 12:01:44 AM,05/06/2018 12:28:00 AM,05/06/2018 12:28:00 AM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1923 41ST AVE, SAN FRANCISCO, CA, 94116",41ST AVE,4,Outer Sunset,TARAVAL,37.750830497823,-122.500081550504,"(37.7508305, -122.50008155)",Mobile/Open311,
8963955,05/05/2018 11:47:27 PM,05/05/2018 11:52:00 PM,05/05/2018 11:52:00 PM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"539 TARAVAL ST, SAN FRANCISCO, CA, 94116",TARAVAL ST,7,West Portal,TARAVAL,37.742993,-122.4720553,"(37.742993, -122.4720553)",Web,
8963937,05/05/2018 11:29:02 PM,05/05/2018 11:52:00 PM,05/05/2018 11:52:00 PM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"2017 BUCHANAN ST, SAN FRANCISCO, CA, 94115",BUCHANAN ST,2,Pacific Heights,NORTHERN,37.788967,-122.430598,"(37.788967, -122.430598)",Mobile/Open311,
8963904,05/05/2018 10:57:33 PM,05/05/2018 11:19:00 PM,05/05/2018 11:19:00 PM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"3249 GOUGH ST, SAN FRANCISCO, CA, 94123",GOUGH ST,2,Marina,NORTHERN,37.8034175,-122.4285028,"(37.8034175, -122.4285028)",Web,
8963740,05/05/2018 09:11:23 PM,05/05/2018 09:31:00 PM,05/05/2018 09:31:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"134 ARLETA AVE, SAN FRANCISCO, CA, 94134",ARLETA AVE,10,Visitacion Valley,INGLESIDE,37.713659,-122.405307,"(37.713659, -122.405307)",Mobile/Open311,
8963710,05/05/2018 08:51:50 PM,05/05/2018 09:03:00 PM,05/05/2018 09:03:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"480 POTRERO AVE, SAN FRANCISCO, CA, 94110",POTRERO AVE,10,Mission,MISSION,37.763500762234,-122.407526573981,"(37.76350076, -122.40752657)",Mobile/Open311,
8963621,05/05/2018 07:54:47 PM,05/05/2018 08:34:00 PM,05/05/2018 08:34:00 PM,Closed,Comment Noted - Rec & Park has been notified,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 19TH ST and DOLORES ST,19TH ST,8,Mission Dolores,MISSION,37.759934,-122.426388,"(37.759934, -122.426388)",Mobile/Open311,
8963571,05/05/2018 07:30:56 PM,05/05/2018 07:43:00 PM,05/05/2018 07:43:00 PM,Closed,Comment Noted - call sfpd non emergency at  415 5530123,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 19TH ST and DOLORES ST,19TH ST,8,Mission Dolores,MISSION,37.759743,-122.426411,"(37.759743, -122.426411)",Mobile/Open311,
8963486,05/05/2018 06:54:47 PM,05/05/2018 07:09:00 PM,05/05/2018 07:09:00 PM,Closed,Comment Noted - Please contact SFPD at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,Other,"235 25TH AVE, SAN FRANCISCO, CA, 94121",25TH AVE,1,Lake Street,RICHMOND,37.785050725201,-122.485517880064,"(37.78505073, -122.48551788)",Mobile/Open311,
8961910,05/05/2018 11:18:00 AM,05/06/2018 06:00:13 AM,05/06/2018 06:00:13 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,Intersection of 16TH ST and MARKET ST,16TH ST,8,Castro,MISSION,37.764161228957,-122.43322229547,"(37.76416123, -122.4332223)",Mobile/Open311,
8961353,05/05/2018 09:08:39 AM,05/05/2018 09:10:00 AM,05/05/2018 09:10:00 AM,Closed,Case is Invalid - Please contact Non-Emergency Police Department at 415-553-0123 regarding this matter.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"3000 FOLSOM ST, SAN FRANCISCO, CA, 94110",FOLSOM ST,9,Mission,MISSION,37.749323518656,-122.413874355125,"(37.74932352, -122.41387436)",Web,
8961321,05/05/2018 08:58:00 AM,05/05/2018 08:58:00 AM,05/05/2018 08:58:00 AM,Closed,Case Resolved - Need to report to SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1089 YORK ST, SAN FRANCISCO, CA, 94110",YORK ST,9,Mission,MISSION,37.7547066,-122.4081696,"(37.7547066, -122.4081696)",Web,
8961300,05/05/2018 08:52:00 AM,05/05/2018 08:59:00 AM,05/05/2018 08:59:00 AM,Closed,Case Resolved - Need to report to SFPD.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"330 UTAH ST, SAN FRANCISCO, CA, 94103",UTAH ST,10,Potrero Hill,MISSION,37.765228838729,-122.406332651976,"(37.76522884, -122.40633265)",Mobile/Open311,
8961074,05/05/2018 06:48:28 AM,05/05/2018 06:53:00 AM,05/05/2018 06:53:00 AM,Closed,Comment Noted - Please contact SFPD Non Emergency at 415-553-0123.  Thank you.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of GREEN ST and OCTAVIA ST,GREEN ST,2,Union Street,NORTHERN,37.797002397159,-122.428702786392,"(37.7970024, -122.42870279)",Mobile/Open311,
8960948,05/05/2018 03:20:14 AM,05/05/2018 03:30:00 AM,05/05/2018 03:30:00 AM,Closed,Comment Noted - Please contact SFPD Non Emergency at 415-553-0123.  Thank you.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"50 LAFAYETTE ST, SAN FRANCISCO, CA, 94103",LAFAYETTE ST,6,South of Market,SOUTHERN,37.772908,-122.41724,"(37.772908, -122.41724)",Mobile/Open311,
8960886,05/05/2018 01:18:00 AM,05/06/2018 06:00:13 AM,05/06/2018 06:00:13 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"1124 SUTTER ST, SAN FRANCISCO, CA, 94109",SUTTER ST,3,Lower Nob Hill,NORTHERN,37.787922215683,-122.41888311703,"(37.78792222, -122.41888312)",Mobile/Open311,
8960859,05/05/2018 12:53:00 AM,05/06/2018 06:00:13 AM,05/06/2018 06:00:13 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"168 HYDE ST, SAN FRANCISCO, CA, 94102",HYDE ST,6,Tenderloin,TENDERLOIN,37.7823406,-122.4155348,"(37.7823406, -122.4155348)",Web,
8960858,05/05/2018 12:52:00 AM,05/06/2018 06:00:13 AM,05/06/2018 06:00:13 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"168 HYDE ST, SAN FRANCISCO, CA, 94102",HYDE ST,6,Tenderloin,TENDERLOIN,37.7823406,-122.4155348,"(37.7823406, -122.4155348)",Web,
8960852,05/05/2018 12:40:00 AM,05/06/2018 06:00:13 AM,05/06/2018 06:00:13 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"271 CLINTON PARK, SAN FRANCISCO, CA, 94103",CLINTON PARK,8,Mission Dolores,MISSION,37.768989801442,-122.42610345606,"(37.7689898, -122.42610346)",Mobile/Open311,
8960732,05/04/2018 10:41:00 PM,05/05/2018 06:00:08 AM,05/05/2018 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,Other,"400 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,6,Tenderloin,TENDERLOIN,37.7827097,-122.4158225,"(37.7827097, -122.4158225)",Web,
8960645,05/04/2018 09:55:29 PM,05/04/2018 10:03:00 PM,05/04/2018 10:03:00 PM,Closed,Comment Noted,311 Supervisor Queue,Noise Report,Noise Issue,Other,"400 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,6,Tenderloin,TENDERLOIN,37.7827097,-122.4158225,"(37.7827097, -122.4158225)",Web,
8960335,05/04/2018 07:23:05 PM,05/04/2018 07:27:00 PM,05/04/2018 07:27:00 PM,Closed,Case is a Duplicate,311 Supervisor Queue,Noise Report,Noise Issue,Other,"235 25TH AVE, SAN FRANCISCO, CA, 94121",25TH AVE,1,Lake Street,RICHMOND,37.78504,-122.485429,"(37.78504, -122.485429)",Web,
8960329,05/04/2018 07:21:01 PM,05/04/2018 07:27:00 PM,05/04/2018 07:27:00 PM,Closed,Case is a Duplicate,311 Supervisor Queue,Noise Report,Noise Issue,Other,"235 25TH AVE, SAN FRANCISCO, CA, 94121",25TH AVE,1,Lake Street,RICHMOND,37.78504,-122.485429,"(37.78504, -122.485429)",Web,
8957665,05/04/2018 10:29:41 AM,05/05/2018 06:00:08 AM,05/05/2018 06:00:08 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"799 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6,South of Market,TENDERLOIN,37.785800933838,-122.405433654785,"(37.78580093, -122.40543365)",Web,
8956108,05/04/2018 12:14:19 AM,05/04/2018 12:38:00 AM,05/04/2018 12:38:00 AM,Closed,Case is Invalid - Please notify SFPD Non-Emergency Police 415-553-0123 to report Noise Complaints of this nature that is in progress.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 21ST ST and CAPP ST,21ST ST,9,Mission,MISSION,37.757085127026,-122.41777100254,"(37.75708513, -122.417771)",Mobile/Open311,
8955828,05/03/2018 08:36:05 PM,05/03/2018 08:49:00 PM,05/03/2018 08:49:00 PM,Closed,Comment Noted - Please contact SFPD @ 415-553-0123 while incident is occurring.,311 Supervisor Queue,Noise Report,Noise Issue,Other,Intersection of 19TH ST and CAPP ST,19TH ST,9,Mission,MISSION,37.760241,-122.418228,"(37.760241, -122.418228)",Mobile/Open311,
8951559,05/03/2018 06:17:00 AM,05/03/2018 04:02:00 PM,05/03/2018 04:02:00 PM,Closed,Case Transferred - Transferred to SR#8954853,DPW BSM Queue,Noise Report,Noise Issue,Other,Intersection of LAGUNITAS DR and OCEAN AVE,LAGUNITAS DR,7,Merced Manor,TARAVAL,37.732103333333,-122.474183333333,"(37.73210333, -122.47418333)",Mobile/Open311,
8951363,05/02/2018 11:57:52 PM,05/03/2018 12:30:00 AM,05/03/2018 12:30:00 AM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"1711 EUCALYPTUS DR, SAN FRANCISCO, CA, 94132",EUCALYPTUS DR,7,Lakeshore,TARAVAL,37.731022,-122.489364,"(37.731022, -122.489364)",Mobile/Open311,
8951361,05/02/2018 11:55:33 PM,05/03/2018 12:30:00 AM,05/03/2018 12:30:00 AM,Closed,Case is Invalid - This type of noise should be reported by calling SFPD non-emergency at 415-553-0123.,311 Supervisor Queue,Noise Report,Noise Issue,Other,"400 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,6,Tenderloin,TENDERLOIN,37.7827097,-122.4158225,"(37.7827097, -122.4158225)",Web,
